,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date
52799,BRK.B,Financials,45.45652410490804,-4.28205128205128,-4626933.593207868,2.8479619047619043,194.92140625,2018-04-01,2018-07-01
53281,BLK,Financials,46.71624111608318,-3.8458574181117533,-194022.76710462337,10.452566666666671,528.4793750000001,2018-04-01,2018-07-01
53763,HRB,Financials,46.297062474141505,-7.285307285307285,4093222.6392950993,0.6783253968253968,26.53890625,2018-04-01,2018-07-01
54245,BHF,Financials,36.81818181818181,-19.747646705387545,-2565383.428357317,1.3654888888888885,48.10296875,2018-04-01,2018-07-01
54727,COF,Financials,48.34496332080874,-1.973333333333327,-2434402.942300573,1.9425476190476194,94.63718750000001,2018-04-01,2018-07-01
55209,CBOE,Financials,43.571319370126886,-7.476884779516368,-1180890.7562687816,2.270473015873015,105.64124999999999,2018-04-01,2018-07-01
55691,SCHW,Financials,50.822015725518234,1.3687760365006962,2862137.9130940363,1.2781634920634923,55.38984375000001,2018-04-01,2018-07-01
56173,CB,Financials,45.17961314092723,-4.711177794448618,96860.78262730187,2.1919698412698416,132.87999999999997,2018-04-01,2018-07-01
56655,CINF,Financials,42.50747892303508,-7.613652065773113,-91650.32901426405,1.2350904761904753,71.0565625,2018-04-01,2018-07-01
57137,APD,Materials,49.50170150704909,-0.5237943149153712,922669.6042160722,2.654742857142857,163.53453125,2018-04-01,2018-07-01
57619,ALB,Materials,54.135222547358694,6.036420863309355,-1339744.7297794009,2.471942857142857,96.00390625,2018-04-01,2018-07-01
58101,AVY,Materials,48.485885372112904,-1.7040531433522799,-517515.98217739747,1.9122206349206343,105.75906250000003,2018-04-01,2018-07-01
58583,BLL,Materials,41.7490118577075,-8.588326047827211,-1892952.442888931,0.6938079365079363,38.309062499999975,2018-04-01,2018-07-01
59065,CF,Materials,61.64670658682635,21.245221190606234,4659527.801110813,1.176266666666666,40.76874999999999,2018-04-01,2018-07-01
